animationId,family,currentStatus,gate,timingStatus,sandboxStatus,packageStatus,dependencies,evidence,notes,candidateOnly,deployable,productionRoster
idle,universal_state,approved_motion,approved_production_baseline,approved_review_timing_non_combat,sandbox_preview_only,not_compiled,,tools/nga-forge/production/characters/swahili/approvals/idle-foundation-v1.approval.json,,True,False,False
crouch,universal_state,approved_key_poses,stance_transition_motion_review,hold_state_simulation_owned,sandbox_preview_only,not_compiled,,tools/nga-forge/production/characters/swahili/approvals/defense-reaction-key-poses-v1.approval.json,,True,False,False
walk_forward,locomotion,candidate_motion,awaiting_human_forward_walk_v2_motion_review,candidate_contact_weighted_40_ticks_non_authoritative,isolated_swahili_sandbox,not_compiled,,NO_GODS_ABOVE/engine_v2/docs/swahili_sandbox/forward-walk-v2-live-review/REVIEW_SUMMARY.md|tools/nga-forge/production/characters/swahili/production-entry.json,,True,False,False
walk_backward,locomotion,blocked_manual_art,three_manual_rgba_paintovers_required,blocked_until_cycle_art_is_complete,not_integrated,not_compiled,walk_backward_first_passing|walk_backward_first_up|walk_backward_opposite_down,tools/nga-forge/production/characters/swahili/approvals/walk-backward-motion-v2.manual-paintovers-block.json|tools/nga-forge/production/characters/swahili/manual-paintover-kits/walk-backward-motion-v2/manual-paintover-kits.manifest.json,Automated retries are prohibited; the complete manual paint-over kits are authoritative.,True,False,False
dash_forward,locomotion,approved_motion,approved_production_baseline,approved_44_ticks_60hz,isolated_swahili_sandbox,not_compiled,,tools/nga-forge/production/characters/swahili/approvals/dash-motion-v2.approval.json,,True,False,False
dash_backward,locomotion,approved_motion,approved_production_baseline,approved_50_ticks_60hz,isolated_swahili_sandbox,not_compiled,,tools/nga-forge/production/characters/swahili/approvals/dash-motion-v2.approval.json,,True,False,False
forward_to_backward_reversal,locomotion_transition,missing,requirements_authored_then_key_pose_authoring,not_authored,not_integrated,not_compiled,walk_forward|walk_backward,tools/nga-forge/production/characters/swahili/coverage/animation-coverage-completion-v1.matrix.json,,True,False,False
backward_to_forward_reversal,locomotion_transition,blocked_manual_art,blocked_until_backward_walk_manual_paintovers_pass,not_authored,not_integrated,not_compiled,walk_backward,tools/nga-forge/production/characters/swahili/approvals/walk-backward-motion-v2.manual-paintovers-block.json,,True,False,False
standing_to_crouch,stance_transition,candidate_motion,awaiting_human_stance_transition_motion_review,candidate_11_ticks_non_authoritative,candidate_review_only,not_compiled,,tools/nga-forge/production/characters/swahili/status/stance-transitions-v1.status.json,,True,False,False
crouch_to_standing,stance_transition,candidate_motion,awaiting_human_stance_transition_motion_review,candidate_11_ticks_non_authoritative,candidate_review_only,not_compiled,,tools/nga-forge/production/characters/swahili/status/stance-transitions-v1.status.json,,True,False,False
